#separator:tab
#notetype:Basic
#deck:CS::CSAPP::Integer Arithmetic
#tags column:3
Формула unsigned-сложения. Что такое x +ᵘ y?	x +ᵘ y = (x + y) mod 2^w. Если x + y < 2^w — обычная сумма. Если x + y >= 2^w — переполнение, результат = x + y - 2^w.	csapp::integer-arithmetic::unsigned-addition
Как обнаружить unsigned-переполнение при сложении? (s = x +ᵘ y)	Переполнение произошло, если s < x (или s < y). В нормальной математике сумма двух неотрицательных >= каждого слагаемого.	csapp::integer-arithmetic::overflow-detection
Формула отрицания unsigned: -ᵘx = ?	-ᵘx = 0, если x = 0; 2^w - x, если x > 0. Пример (u4): -ᵘ5 = 16 - 5 = 11. Проверка: 5 +ᵘ 11 = 16 mod 16 = 0.	csapp::integer-arithmetic::unsigned-negation
Формула signed-сложения в дополнительном коде. Как связана с unsigned?	x +ᵗ y = U2T_w(T2U_w(x) +ᵘ T2U_w(y)). На уровне битов — та же операция, что unsigned. Процессор выполняет одну инструкцию ADD.	csapp::integer-arithmetic::signed-addition
Когда происходит положительное переполнение signed-сложения?	Когда x > 0, y > 0, но x + y > TMax. Результат = x + y - 2^w (становится отрицательным). Пример i8: 100 + 100 = 200 - 256 = -56.	csapp::integer-arithmetic::positive-overflow
Когда происходит отрицательное переполнение signed-сложения?	Когда x < 0, y < 0, но x + y < TMin. Результат = x + y + 2^w (становится положительным). Пример i8: -100 + (-100) = -200 + 256 = 56.	csapp::integer-arithmetic::negative-overflow
Как обнаружить положительное переполнение signed-сложения?	x > 0 и y > 0, но s <= 0. Для отрицательного: x < 0 и y < 0, но s >= 0. Если знаки слагаемых разные — переполнения не бывает.	csapp::integer-arithmetic::signed-overflow-detection
Два метода отрицания signed числа. Особый случай.	Метод 1: -x = ~x + 1 (инвертировать биты + 1). Метод 2: всё левее крайней правой 1 инвертировать, правее — оставить. Особый случай: -TMin = TMin (потому что |TMin| = TMax + 1 не помещается в тип).	csapp::integer-arithmetic::signed-negation
Почему -TMin = TMin? Пример для i8.	TMin_8 = -128. -(-128) = 128, но TMax_8 = 127. 128 не помещается в i8. Побитово: ~10000000 + 1 = 01111111 + 1 = 10000000 = -128. В Zig: -%(@as(i8, -128)) = -128.	csapp::integer-arithmetic::tmin-negation
Формулы unsigned и signed умножения с усечением.	Unsigned: x *ᵘ y = (x * y) mod 2^w. Signed: x *ᵗ y = U2T_w((x * y) mod 2^w). Ключевое свойство: битовые представления усечённых произведений signed и unsigned идентичны.	csapp::integer-arithmetic::multiplication
Почему процессору нужна только одна инструкция MUL для signed и unsigned?	Потому что (x * y) mod 2^w даёт одинаковые биты для signed и unsigned интерпретации. Разница только в интерпретации результата (B2U vs B2T).	csapp::integer-arithmetic::single-instruction
