Каков общий порядок иерархии типов в TypeScript (от узкого к широкому)?	never → Literal Types → Primitive Types → Union Types → unknown / any
Почему never можно присвоить любому типу?	never — пустое множество значений. Пустое множество является подмножеством любого множества, поэтому never совместим с любым типом.
Чем литеральный тип отличается от примитивного?	Literal type — одно конкретное значение (type A = 42). Primitive type — всё множество значений (number). 42 ⊂ number, но не наоборот.
Почему `const second: 3 = 2 + 1` вызывает ошибку?	Выражение 2 + 1 имеет тип number, а не literal 3. number ⊄ 3 — более широкий тип нельзя присвоить более узкому.
Чем unknown отличается от any?	unknown принимает любое значение, но запрещает операции до сужения. any принимает всё и разрешает любые операции — отключает систему типов. unknown безопасен, any — нет.
Что делает `extends` в conditional type?	Проверяет, является ли левый тип подтипом правого: `42 extends number ? 'YES' : 'NO'` → 'YES', т.к. 42 ⊂ number.
Что такое Excess Property Check и когда он срабатывает?	Дополнительная проверка TypeScript, которая запрещает лишние поля ТОЛЬКО в object literal. Через промежуточную переменную не работает — проверяется структурная совместимость.
Почему `const s: Foo = obj` не вызывает ошибки при лишних полях в obj?	TypeScript проверяет структурную совместимость, а не точное совпадение. Если обязательные поля есть — типы совместимы.
Как intersection (&) работает для объектов?	Объединяет поля: { a: string } & { b: number } → { a: string; b: number }. Значение должно удовлетворять обоим типам.
Что происходит при intersection примитивов?	string & number → never. Нет значения, одновременно являющегося строкой и числом.
Интуиция Union vs Intersection для объектов?	A | B → больше значений, но доступны только общие поля. A & B → меньше значений (должно быть и A, и B), но доступны все поля обоих.
Что такое type refinement?	Процесс, когда TypeScript анализирует control flow и сужает тип в текущей ветке, отсекая невозможные варианты union.
Как TypeScript выводит тип для const vs let?	const a = 42 → тип 42 (literal, не может измениться). let b = 42 → тип number (может переприсваиваться — расширяется).
Что такое discriminated union?	Union с литеральным полем-дискриминатором, уникальным для каждого варианта. Позволяет безопасно сужать тип по значению поля.
Как реализовать exhaustive check?	Использовать `function assertNever(x: never): void` в else-ветке. Если все варианты обработаны — x имеет тип never. Если добавить новый вариант в union — компилятор укажет на необработанный случай.
Почему оператор `in` небезопасен для сужения типов?	Структурная типизация допускает лишние поля. ExternalUser может иметь поле department — in ошибочно сузит тип до InternalUser → рантайм ошибка.
Какие методы сужения типов безопасны?	typeof, instanceof, поле-дискриминатор (литеральное), литеральное сравнение, custom type guard (если логика верна).
Зачем нужны дженерики?	Параметризировать тип, не теряя информацию. identity<T>(value: T): T — T выводится из аргумента, тип сохраняется.
Что делает `extends` в generic constraint?	Ограничивает допустимые типы и описывает, какие операции допустимы внутри функции. `Key extends keyof Obj` гарантирует, что Key — ключ Obj.
Что такое `infer` в conditional type?	Захватывает часть типа в переменную: `T extends MaybeRef<infer Value> ? Value : never` — извлекает Value из параметра дженерика.
Зачем нужны function overloads?	Когда тип возвращаемого значения зависит от типа аргумента. parse(string): number; parse(number): string — без перегрузок вернулось бы string | number.
Каково правило совместимости функций?	Параметры контравариантны (реализация принимает шире или равно), возврат ковариантен (реализация возвращает уже или равно). Мнемоника: "принимай шире, возвращай уже".
Когда структурная типизация TypeScript отключается?	Для классов с private полями — проверка становится номинальной. Два класса с одинаковыми private полями несовместимы.
Почему функция с аргументом совместима с функцией без аргументов в TS?	Контравариантность параметров: функция с аргументом "шире" — аргумент просто проигнорируется. Обратное небезопасно.
Как TypeScript проверяет совместимость функции с несколькими перегрузками?	Достаточно найти ОДНУ перегрузку, совместимую с целевым типом. Остальные перегрузки не проверяются.
Что такое ковариантность?	Контейнер сохраняет направление наследования. Producer<User> совместим с Producer<Entity>, если User extends Entity. Тип T используется только на выходе (out).
Что такое контравариантность?	Контейнер инвертирует направление наследования. Consumer<Entity> совместим с Consumer<User>. Функция, принимающая Entity, справится с любым User. Тип T — только на входе (in).
Что такое инвариантность?	Контейнер не допускает подстановку ни в каком направлении. Transformer<in out T> — допустимо только точное совпадение типа.
Почему ковариантность мутабельных массивов небезопасна?	Dog[] можно присвоить Animal[], но через Animal[] можно добавить Cat — dogs теперь содержит Cat. readonly массивы безопасно ковариантны.
Что делают модификаторы `in` и `out` в TypeScript 4.7+?	Явно аннотируют вариантность параметра дженерика. out T — ковариантен (только на выходе). in T — контравариантен (только на входе). in out T — инвариантен.
Почему `processUser(u: Entity): CompanyUser` совместим с `Processor = (u: User) => User`?	Entity шире User — контравариантность параметра ✓. CompanyUser уже User — ковариантность возврата ✓.
Почему методы в объектах бивариантны по параметрам?	Историческая особенность для обратной совместимости. Запись `handler(e: T): R` — бивариантна. Запись `handler: (e: T) => R` — контравариантна (со strictFunctionTypes).
В чём разница между `handler(e: User): User` и `handler: (e: User) => User`?	Метод-запись (скобки без двоеточия) — бивариантна по параметрам (менее строгая). Свойство-функция (через двоеточие) — контравариантна по параметрам (более строгая, безопасная).
Что такое `Readonly<T>` и в чём его ограничение?	Запрещает переприсваивание свойств ТОЛЬКО по месту использования. Поверхностный (shallow) — вложенные объекты остаются мутабельными.
Почему `Readonly<User>` не защищает объект при передаче в `(u: User) => void`?	Readonly защищает только там, где аннотирован. Параметр функции имеет тип User, не Readonly<User> — присваивание полей допустимо.
Чем `as const` отличается от `Readonly<T>`?	as const — глубокий (рекурсивный) readonly + сужает типы до литералов. Readonly<T> — поверхностный, сохраняет оригинальные типы.
Как работает совместимость `readonly` и обычного массива?	number[] → readonly number[] (OK). readonly number[] → number[] (❌ Error). Мутабельный можно передать в immutable-контекст, обратное — нет.
