#separator:tab
#notetype:Basic
#deck:CS::CSAPP::3.3 Data Formats
#tags column:3
Какой главный вопрос решает CS:APP 3.3 «Форматы данных»?	Сколько байтов берет конкретная машинная операция и как этот размер связан с C-типом, ABI и суффиксом assembly-инструкции.	cs::csapp::machine-code::data-formats
Что означает `byte` в терминологии x86/Intel?	`byte` означает 8 bits, то есть 1 byte; в integer assembly suffix обычно `b`.	cs::csapp::x86-64::data-size
Что означает `word` в терминологии x86/Intel?	`word` означает 16 bits, то есть 2 bytes; в integer assembly suffix обычно `w`.	cs::csapp::x86-64::data-size
Что означает `double word` в терминологии x86/Intel?	`double word` означает 32 bits, то есть 4 bytes; в integer assembly suffix обычно `l`.	cs::csapp::x86-64::data-size
Что означает `quad word` в терминологии x86/Intel?	`quad word` означает 64 bits, то есть 8 bytes; в integer assembly suffix обычно `q`.	cs::csapp::x86-64::data-size
Почему x86 `word` не означает 64-bit machine word?	В x86 это исторический термин из 16-bit архитектуры: `word` закреплен за 16 bits, даже на `x86-64`.	cs::csapp::x86-64::terminology
Какой размер у C `char` в таблице CS:APP 3.3 для x86-64/Linux?	`char` занимает 1 byte и соответствует machine-level `byte`, suffix `b`.	cs::csapp::c::sizeof
Какой размер у C `short` в таблице CS:APP 3.3 для x86-64/Linux?	`short` занимает 2 bytes и соответствует machine-level `word`, suffix `w`.	cs::csapp::c::sizeof
Какой размер у C `int` в таблице CS:APP 3.3 для x86-64/Linux?	`int` занимает 4 bytes и соответствует machine-level `double word`, suffix `l`.	cs::csapp::c::sizeof
Какой размер у C `long` в таблице CS:APP 3.3 для x86-64/Linux?	`long` занимает 8 bytes и соответствует machine-level `quad word`, suffix `q`.	cs::csapp::c::sizeof
Какой размер у pointer в таблице CS:APP 3.3 для x86-64/Linux?	Pointer занимает 8 bytes и соответствует machine-level `quad word`, suffix `q`.	cs::csapp::c::pointers
Почему `char *` и `int *` обычно имеют одинаковый размер на x86-64/Linux?	Оба хранят адрес; размер pointer value не зависит от размера объекта, на который он указывает.	cs::csapp::c::pointers
Почему `int *p` занимает 8 bytes, но `*p = x` для `int` записывает 4 bytes?	`p` сам является 8-byte адресом, а `*p` имеет тип `int`, поэтому размер записываемого объекта равен 4 bytes.	cs::csapp::c::pointers
Что означает suffix `b` в integer assembly-инструкции?	Операция работает с 1 byte.	cs::csapp::assembly::suffixes
Что означает suffix `w` в integer assembly-инструкции?	Операция работает с 2 bytes, то есть x86 `word`.	cs::csapp::assembly::suffixes
