Что такое тип в контексте системы типов?	Множество допустимых значений + набор допустимых операций над ними.
Какие задачи решает система типов?	Safety (предотвращение ошибок), абстракция (скрытие деталей за интерфейсом), документация (машинно-проверяемая), оптимизация (компилятор использует информацию о типах).
Что такое структурная типизация?	Совместимость типов определяется по форме (наличию нужных полей), а не по имени типа. TypeScript использует структурную типизацию.
Когда структурная типизация нарушается в TypeScript?	Для классов с private/protected полями — проверка становится номинальной (по происхождению, а не по форме).
Что такое unknown и чем отличается от any?	unknown — top type, принимает любое значение, но запрещает операции до сужения типа. any тоже принимает всё, но присваивается куда угодно и разрешает любые операции — отключает систему типов.
Что происходит с unknown в union и intersection?	T | unknown → unknown (поглощает в union). T & unknown → T (нейтрален в intersection).
Когда использовать unknown вместо any?	Для входных данных из внешних источников (API, JSON.parse, user input), в catch-блоках (TS 4.4+), в generic constraints — везде, где нужна типобезопасность.
Что такое never в TypeScript?	Bottom type — пустое множество значений. Присваивается любому типу, но ничто не присваивается never.
Когда функция возвращает never?	Когда гарантированно не завершается нормально: throw, бесконечный цикл, process.exit.
Чем never отличается от void?	void — функция завершается, но не возвращает полезного значения. never — функция не завершается вообще.
Как never ведёт себя в union и intersection?	T | never = T (нейтральный элемент). T & never = never (поглощает).
Как never используется для фильтрации типов?	В distributive conditional types: type NonNumbers<T> = T extends number ? never : T — number отфильтровывается из union, потому что never выбрасывается из результата.
Что такое exhaustive check и как его реализовать?	Гарантия обработки всех вариантов union. Функция assertNever(x: never): never — если добавить новый вариант в union и не обработать, x не будет never → ошибка компиляции.
Почему void и undefined — разные вещи в TypeScript?	void в контекстной типизации (колбеки) разрешает любой возврат, но результат игнорируется. Это позволяет передавать push() (возвращает number) в forEach. undefined требовал бы точного соответствия.
Два контекста использования void?	1) Тип колбека (() => void) — разрешает любой возврат, результат игнорируется. 2) Явная аннотация (function f(): void) — запрещает return <value>.
Что такое литеральный тип?	Тип, представляющий одно конкретное значение: type X = 42; type Y = "hello". Одноэлементное множество.
Как const и let влияют на вывод типов?	const x = "hello" → тип "hello" (литерал). let y = "hello" → тип string (расширение). const не может измениться → TS выводит узкий тип.
